Propriétaire de l’installation,Nom du site,Adresse du site,Municipalité du site,Secteur,District,Contaminant,Type de dépassement,Date du début du dépassement,Date de la fin du dépassement,Limite du contaminant,Unité du contaminant,Fréquence de la limite,Nombre de dépassements,Minimum de la quantité,Maximum de la quantité,Mesure prise par l’installation,Mesure prise par le ministère
Innservices Utilities Inc.,Cookstown WPCP,1315 Victoria St,Innisfil,Municipal Sewage,Barrie,TOTAL AMMONIA NITROGEN,Approval / Permit Non-Compliance,2020-10-01,2020-10-31,4,mg/L,mon avg,1,6.2,6.2,Additional Monitoring Underway,Assessment Complete - Incident Resolved
Innservices Utilities Inc.,Cookstown WPCP,1315 Victoria St,Innisfil,Municipal Sewage,Barrie,TOTAL AMMONIA NITROGEN,Approval / Permit Non-Compliance,2020-12-31,2020-12-31,4,mg/L,annual avg,1,4.99,4.99,Additional Monitoring Underway; Conducting Study; Operational Process Modification; Training/Procedure Change,Assessment Complete - Incident Resolved
Lebovic Enterprises Limited,Lebovic Golf Course,14020 Leslie St.,Aurora,Miscellaneous Communal,York-Durham,ESCHERICHIA COLI,Approval / Permit Non-Compliance,2020-07-01,2020-07-31,100,CT/100 mL,mon avg. on a geo. mean density,1,620,620,New/Modified Sampling Program Underway; Training/Procedure Change,Assessment Complete - Incident Resolved
Lebovic Enterprises Limited,Lebovic Golf Course,14020 Leslie St.,Aurora,Miscellaneous Communal,York-Durham,ESCHERICHIA COLI,Approval / Permit Non-Compliance,2020-08-01,2020-08-31,100,CT/100 mL,mon avg. on a geo. mean density,1,869,869,New/Modified Sampling Program Underway; Training/Procedure Change,Assessment Complete - Incident Resolved
Linwood Parks Inc. / Gull Wing Lake Resort Inc.,Gullwing Lake Park,1025 Gullwing Lake Road Torrance,Muskoka Lakes,Miscellaneous Communal,Barrie,TOTAL AMMONIA NITROGEN,Approval / Permit Non-Compliance,2020-06-01,2020-06-30,3,mg/L,mon avg,1,7,7,Operational Process Modification,Assessment complete - Incident Resolved
Linwood Parks Inc. / Gull Wing Lake Resort Inc.,Gullwing Lake Park,1025 Gullwing Lake Road Torrance,Muskoka Lakes,Miscellaneous Communal,Barrie,"SUSPENDED SOLIDS, TOTAL",Approval / Permit Non-Compliance,2020-08-01,2020-08-31,10,mg/L,mon avg,1,14,14,Conducting Study; Equipment Modified - Repaired - Replaced or Re-calibrated,Assessment Underway
Linwood Parks Inc. / Gull Wing Lake Resort Inc.,Gullwing Lake Park,1025 Gullwing Lake Road Torrance,Muskoka Lakes,Miscellaneous Communal,Barrie,TOTAL AMMONIA NITROGEN,Approval / Permit Non-Compliance,2020-08-01,2020-08-31,3,mg/L,mon avg,1,13.4,49.3,Operational Process Modification,Voluntary Abatement Program Underway
LK Aurora Inc.,LK Aurora Sewage Disposal,"Lot: 21, Concession: 8,  Geographic Township: WHITCHURCH, Whitchurch-Stouffville, Town, Regional Municipality of York",Whitchurch-Stouffville,Miscellaneous Communal,York-Durham,"SUSPENDED SOLIDS, TOTAL",Approval / Permit Non-Compliance,2020-07-01,2020-07-31,10,mg/L,mon avg,1,11.2,11.2,Additional Monitoring Underway,Voluntary Abatement Program Underway
LK Aurora Inc.,LK Aurora Sewage Disposal,"Lot: 21, Concession: 8,  Geographic Township: WHITCHURCH, Whitchurch-Stouffville, Town, Regional Municipality of York",Whitchurch-Stouffville,Miscellaneous Communal,York-Durham,TOTAL AMMONIA NITROGEN,Approval / Permit Non-Compliance,2020-07-01,2020-07-31,2.5,mg/L,mon avg,1,4.5,4.5,Additional Monitoring Underway,Voluntary Abatement Program Underway
LK Aurora Inc.,LK Aurora Sewage Disposal,"Lot: 21, Concession: 8,  Geographic Township: WHITCHURCH, Whitchurch-Stouffville, Town, Regional Municipality of York",Whitchurch-Stouffville,Miscellaneous Communal,York-Durham,"SUSPENDED SOLIDS, TOTAL",Approval / Permit Non-Compliance,2020-09-01,2020-09-30,10,mg/L,mon avg,1,11.5,11.5,New/Amended Approval,Voluntary Abatement Program Underway
Mishar Holdings Inc.,Lyn Valley Trailer Court,72 Main St W  Lyn,Elizabethtown-Kitley,Miscellaneous Communal,Kingston,CARBONACEOUS BIOCHEMICAL OXYGEN DEMAND,Approval / Permit Non-Compliance,2020-08-04,2020-09-30,15,mg/L,Quarterly,1,204,204,Action Plan Submitted - Implementing Improvements; Training/Procedure Change,Assessment Complete - Incident Resolved; Ticket Issued; Voluntary Abatement Program Underway
Mishar Holdings Inc.,Lyn Valley Trailer Court,72 Main St W  Lyn,Elizabethtown-Kitley,Miscellaneous Communal,Kingston,"SUSPENDED SOLIDS, TOTAL",Approval / Permit Non-Compliance,2020-08-04,2020-09-30,15,mg/L,Quarterly,1,80.6,80.6,Action Plan Submitted - Implementing Improvements; Training/Procedure Change,Assessment Complete - Incident Resolved; Ticket Issued; Voluntary Abatement Program Underway
Mishar Holdings Inc.,Lyn Valley Trailer Court,72 Main St W  Lyn,Elizabethtown-Kitley,Miscellaneous Communal,Kingston,NITRATES,Approval / Permit Non-Compliance,2020-09-30,2020-10-14,2.5,mg/L,Quarterly,2,4.1,4.1,Action Plan Submitted - Implementing Improvements; Training/Procedure Change,Assessment Complete - Incident Resolved; Ticket Issued; Voluntary Abatement Program Underway
Municipality of Central Manitoulin,Mindemoya Water Pollution Control Plant,210 Young St,Central Manitoulin,Municipal Sewage,Sudbury,"SUSPENDED SOLIDS, TOTAL",Approval / Permit Non-Compliance,2020-07-01,2020-07-31,25,mg/L,mon avg,1,46.5,46.5,Equipment Modified - Repaired - Replaced or Re-calibrated,Assessment Complete - No Action Required
Municipality of Southwest Middlesex,Wardsville Water Pollution Control Plant,1659 Longwoods Rd,Southwest Middlesex,Municipal Sewage,London,"PHOSPHORUS, TOTAL",Approval / Permit Non-Compliance,2020-09-01,2020-09-30,0.5,mg/L,mon avg,1,0.67,0.67,None Required,Assessment Complete - Incident Resolved
Municipality of Southwest Middlesex,Wardsville Water Pollution Control Plant,1659 Longwoods Rd,Southwest Middlesex,Municipal Sewage,London,"PHOSPHORUS, TOTAL",Approval / Permit Non-Compliance,2020-09-23,2020-09-23,1,mg/L, /d,1,1.37,1.37,None Required,Assessment Complete - Incident Resolved
Municipality of Southwest Middlesex,Wardsville Water Pollution Control Plant,1659 Longwoods Rd,Southwest Middlesex,Municipal Sewage,London,"SUSPENDED SOLIDS, TOTAL",Approval / Permit Non-Compliance,2020-12-29,2020-12-29,15,mg/L, /d,1,26,26,None Required,Assessment Complete - No Action Required
Niagara Resorts (Muskoka) Inc.,JW Marriott The Rosseau Muskoka Resort & Spa,1050 Paignton House Rd Minett,Muskoka Lakes,Miscellaneous Communal,Barrie,"SUSPENDED SOLIDS, TOTAL",Approval / Permit Non-Compliance,2020-04-01,2020-04-30,25,mg/L,mon avg,1,36,36,Conducting Study; Equipment Modified - Repaired - Replaced or Re-calibrated,Assessment complete - Incident Resolved
Creg Quay Limited,Creg Quay Communal Sewage Works,"Lot: 21, Concession: 1",South Glengarry,Municipal Sewage,Cornwall,"SUSPENDED SOLIDS, TOTAL",Approval / Permit Non-Compliance,2020-10-30,2020-11-30,40,mg/L,seasonal avg,1,44.2,44.2,Training/Procedure Change,Assessment Complete - No Action Required
Creg Quay Limited,Winchester Sewage Lagoon,12396 Ottawa St N,North Dundas,Municipal Sewage,Cornwall,TOTAL AMMONIA NITROGEN,Approval / Permit Non-Compliance,2020-11-20,2020-12-10,7,mg/L,seasonal avg,1,8.68,8.68,None Required,Assessment Complete - No Action Required
Opinicon Inc.,1697 Chaffeys Lock Road,1697 Chaffeys Lock Road,Rideau Lakes,Miscellaneous Communal,Kingston,"SUSPENDED SOLIDS, TOTAL",Approval / Permit Non-Compliance,2020-01-24,2020-02-21,20,mg/L,any,2,22,30,None Required,Assessment Complete - Incident Resolved
Opinicon Inc.,1697 Chaffeys Lock Road,1697 Chaffeys Lock Road,Rideau Lakes,Miscellaneous Communal,Kingston,CARBONACEOUS BIOCHEMICAL OXYGEN DEMAND,Approval / Permit Non-Compliance,2020-02-21,2020-02-21,20,mg/L,any,1,34,34,None Required,Assessment Complete - Incident Resolved
Opinicon Inc.,1697 Chaffeys Lock Road,1697 Chaffeys Lock Road,Rideau Lakes,Miscellaneous Communal,Kingston,"SUSPENDED SOLIDS, TOTAL",Approval / Permit Non-Compliance,2020-07-23,2020-09-22,20,mg/L,any,3,42,112,Action Plan Submitted - Implementing Improvements,Voluntary Abatement Program Underway
Parkbridge Lifestyle Communities Inc.,Antrim Glen Estates,1265 8th Conc W,Hamilton,Miscellaneous Communal,Hamilton,TOTAL AMMONIA NITROGEN,Approval / Permit Non-Compliance,2020-05-01,2020-05-31,1.5,mg/L,mon avg,1,4.1,4.1,Operational Process Modification,Assessment Complete - Incident Resolved
Parkbridge Lifestyle Communities Inc.,Meneset on the Lake,33809 Airport Rd,Ashfield-Colborne-Wawanosh,Miscellaneous Communal,Owen Sound,CARBONACEOUS BIOCHEMICAL OXYGEN DEMAND,Approval / Permit Non-Compliance,2020-01-01,2020-01-31,15,mg/L,mon avg,1,21,21,Equipment Modified - Repaired - Replaced or Re-calibrated; New Equipment or Treatment Process Installed; New/Amended Approval,Other Abatement Action Taken
Parkbridge Lifestyle Communities Inc.,Meneset on the Lake,33809 Airport Rd,Ashfield-Colborne-Wawanosh,Miscellaneous Communal,Owen Sound,"SUSPENDED SOLIDS, TOTAL",Approval / Permit Non-Compliance,2020-01-01,2020-01-31,15,mg/L,mon avg,1,22,22,Equipment Modified - Repaired - Replaced or Re-calibrated; New Equipment or Treatment Process Installed; New/Amended Approval,Other Abatement Action Taken
Parkbridge Lifestyle Communities Inc.,Meneset on the Lake,33809 Airport Rd,Ashfield-Colborne-Wawanosh,Miscellaneous Communal,Owen Sound,"SUSPENDED SOLIDS, TOTAL",Approval / Permit Non-Compliance,2020-03-01,2020-03-31,15,mg/L,mon avg,1,18,18,Conducting Study; Operational Process Modification,Assessment Underway
Parkbridge Lifestyle Communities Inc.,Meneset on the Lake,33809 Airport Rd,Ashfield-Colborne-Wawanosh,Miscellaneous Communal,Owen Sound,"SUSPENDED SOLIDS, TOTAL",Approval / Permit Non-Compliance,2020-04-01,2020-04-30,15,mg/L,mon avg,1,20,20,Conducting Study; New Equipment or Treatment Process Installed; New/Amended Approval; Operational Process Modification,Assessment Underway
Parkbridge Lifestyle Communities Inc.,Meneset on the Lake,33809 Airport Rd,Ashfield-Colborne-Wawanosh,Miscellaneous Communal,Owen Sound,"SUSPENDED SOLIDS, TOTAL",Approval / Permit Non-Compliance,2020-05-01,2020-05-31,15,mg/L,mon avg,1,26,26,Conducting Study; Equipment Modified - Repaired - Replaced or Re-calibrated; New Equipment or Treatment Process Installed; Operational Process Modification,Assessment Underway
Parkbridge Lifestyle Communities Inc.,Meneset on the Lake,33809 Airport Rd,Ashfield-Colborne-Wawanosh,Miscellaneous Communal,Owen Sound,"SUSPENDED SOLIDS, TOTAL",Approval / Permit Non-Compliance,2020-06-01,2020-06-30,15,mg/L,mon avg,1,20,20,Conducting Study; Equipment Modified - Repaired - Replaced or Re-calibrated; New/Amended Approval; Operational Process Modification,Assessment Underway
Parkbridge Lifestyle Communities Inc.,Meneset on the Lake,33809 Airport Rd,Ashfield-Colborne-Wawanosh,Miscellaneous Communal,Owen Sound,"SUSPENDED SOLIDS, TOTAL",Approval / Permit Non-Compliance,2020-07-01,2020-07-31,15,mg/L,mon avg,1,25,25,Conducting Study; Equipment Modified - Repaired - Replaced or Re-calibrated; New Equipment or Treatment Process Installed; New/Amended Approval,Assessment Underway
Parkbridge Lifestyle Communities Inc.,Meneset on the Lake,33809 Airport Rd,Ashfield-Colborne-Wawanosh,Miscellaneous Communal,Owen Sound,CARBONACEOUS BIOCHEMICAL OXYGEN DEMAND,Approval / Permit Non-Compliance,2020-08-01,2020-08-31,15,mg/L,mon avg,1,24,24,Conducting Study; Equipment Modified - Repaired - Replaced or Re-calibrated; New Equipment or Treatment Process Installed; New/Amended Approval,Assessment Underway
Parkbridge Lifestyle Communities Inc.,Meneset on the Lake,33809 Airport Rd,Ashfield-Colborne-Wawanosh,Miscellaneous Communal,Owen Sound,"SUSPENDED SOLIDS, TOTAL",Approval / Permit Non-Compliance,2020-08-01,2020-08-31,15,mg/L,mon avg,1,35,35,Conducting Study; Equipment Modified - Repaired - Replaced or Re-calibrated; New Equipment or Treatment Process Installed; New/Amended Approval,Assessment Underway
Parkbridge Lifestyle Communities Inc.,Meneset on the Lake,33809 Airport Rd,Ashfield-Colborne-Wawanosh,Miscellaneous Communal,Owen Sound,CARBONACEOUS BIOCHEMICAL OXYGEN DEMAND,Approval / Permit Non-Compliance,2020-09-01,2020-09-30,15,mg/L,mon avg,1,60,60,Conducting Study; Equipment Modified - Repaired - Replaced or Re-calibrated; New/Amended Approval; Operational Process Modification,Assessment Underway
Parkbridge Lifestyle Communities Inc.,Meneset on the Lake,33809 Airport Rd,Ashfield-Colborne-Wawanosh,Miscellaneous Communal,Owen Sound,"SUSPENDED SOLIDS, TOTAL",Approval / Permit Non-Compliance,2020-09-01,2020-09-30,15,mg/L,mon avg,1,66,66,Conducting Study; Equipment Modified - Repaired - Replaced or Re-calibrated; New/Amended Approval; Operational Process Modification,Assessment Underway
Parkbridge Lifestyle Communities Inc.,Meneset on the Lake,33809 Airport Rd,Ashfield-Colborne-Wawanosh,Miscellaneous Communal,Owen Sound,CARBONACEOUS BIOCHEMICAL OXYGEN DEMAND,Approval / Permit Non-Compliance,2020-10-01,2020-10-31,15,mg/L,mon avg,1,23,23,Conducting Study; Equipment Modified - Repaired - Replaced or Re-calibrated; New/Amended Approval; Operational Process Modification,Assessment Underway
Parkbridge Lifestyle Communities Inc.,Meneset on the Lake,33809 Airport Rd,Ashfield-Colborne-Wawanosh,Miscellaneous Communal,Owen Sound,"SUSPENDED SOLIDS, TOTAL",Approval / Permit Non-Compliance,2020-10-01,2020-10-31,15,mg/L,mon avg,1,26,26,Conducting Study; Equipment Modified - Repaired - Replaced or Re-calibrated; New/Amended Approval; Operational Process Modification,Assessment Underway
Parkbridge Lifestyle Communities Inc.,Meneset on the Lake,33809 Airport Rd,Ashfield-Colborne-Wawanosh,Miscellaneous Communal,Owen Sound,CARBONACEOUS BIOCHEMICAL OXYGEN DEMAND,Approval / Permit Non-Compliance,2020-11-01,2020-11-30,15,mg/L,mon avg,1,38,38,Conducting Study; Equipment Modified - Repaired - Replaced or Re-calibrated; New/Amended Approval; Operational Process Modification,Assessment Underway
Parkbridge Lifestyle Communities Inc.,Meneset on the Lake,33809 Airport Rd,Ashfield-Colborne-Wawanosh,Miscellaneous Communal,Owen Sound,"SUSPENDED SOLIDS, TOTAL",Approval / Permit Non-Compliance,2020-11-01,2020-11-30,15,mg/L,mon avg,1,29,29,Conducting Study; Equipment Modified - Repaired - Replaced or Re-calibrated; New/Amended Approval; Operational Process Modification,Assessment Underway
Parkbridge Lifestyle Communities Inc.,Meneset on the Lake,33809 Airport Rd,Ashfield-Colborne-Wawanosh,Miscellaneous Communal,Owen Sound,CARBONACEOUS BIOCHEMICAL OXYGEN DEMAND,Approval / Permit Non-Compliance,2020-12-01,2020-12-31,15,mg/L,mon avg,1,69,69,Conducting Study; Equipment Modified - Repaired - Replaced or Re-calibrated; New/Amended Approval; Operational Process Modification,Assessment Underway
Parkbridge Lifestyle Communities Inc.,Meneset on the Lake,33809 Airport Rd,Ashfield-Colborne-Wawanosh,Miscellaneous Communal,Owen Sound,"SUSPENDED SOLIDS, TOTAL",Approval / Permit Non-Compliance,2020-12-01,2020-12-31,15,mg/L,mon avg,1,59,59,Conducting Study; Equipment Modified - Repaired - Replaced or Re-calibrated; New/Amended Approval; Operational Process Modification,Assessment Underway
Parkbridge Lifestyle Communities Inc.,Shady Acres Cottage and RV Resort - 740 Serpent Mounds Road,740 Serpent Mounds Road,Otonabee-South Monaghan,Miscellaneous Communal,Peterborough,ESCHERICHIA COLI,Approval / Permit Non-Compliance,2020-01-02,2020-01-02,200,CT/100 mL,any,1,2000,2000,Operational Process Modification,Assessment Underway
Parkbridge Lifestyle Communities Inc.,Shady Acres Cottage and RV Resort - 740 Serpent Mounds Road,740 Serpent Mounds Road,Otonabee-South Monaghan,Miscellaneous Communal,Peterborough,"PHOSPHORUS, TOTAL",Approval / Permit Non-Compliance,2020-01-29,2020-01-29,1,mg/L,any,1,1.43,1.43,Operational Process Modification,Assessment Underway
Parkbridge Lifestyle Communities Inc.,Shady Acres Cottage and RV Resort - 740 Serpent Mounds Road,740 Serpent Mounds Road,Otonabee-South Monaghan,Miscellaneous Communal,Peterborough,"PHOSPHORUS, TOTAL",Approval / Permit Non-Compliance,2020-02-20,2020-02-20,1,mg/L,any,1,1.2,1.2,Operational Process Modification,Assessment Underway
