ID,Name,Sector,From Municipality,To Municipality,Location,Geometry,Cost,Stage,Schedule,Website,Related Links,Developer,Recently Added,Construction Contractor,Image Filename,Image Source,Details
2235,Valleyview Regional Multiplex,Tourism / Recreation,Valleyview,,"(55.076000213623, -117.276496887207)",,$31000000.00,Announced,2015 - 2016,www.mdgreenview.ab.ca/visitors/recreation,"[{""url"":""http://www.dailyheraldtribune.com/2014/05/19/plans-for-valleyview-multiplex-in-the-works"",""text"":""May 19, 2014 - Daily Herald-Tribune""}]",MD of Greenview / Town of Valleyview,false,,,,"Includes an indoor aquatic centre, field house, and walking track. Planned construction start October 2015."
2236,Arena District Condo Building,Residential,Edmonton,,"(53.5457649230957, -113.497894287109)",,$200000000.00,Announced,,,,Katz Group,false,,,,Planned completion by 2019. Part of arena district.
2238,Candlewood Suites Hotel,Tourism / Recreation,Calgary,,"(51.1500015258789, -114)",,$9000000.00,Announced,2015 - 2016,,,Penalta Group Ltd.,false,,,,Planned construction start April 2015.
2240,Travers / Little Bow Dam Upgrades,Infrastructure,Vulcan County,,"(50.3501014709473, -112.643997192383)",,$33000000.00,Under Construction,2014 - 2017,,"[{""url"":""http://globalnews.ca/news/1344918/province-announces-dams-and-reservoir-upgrades-to-protect-against-flooding/"",""text"":""May 21, 2014 - Global News""}]",Alberta Environment and Sustainable Resource Development,false,Graham Infrastructure LP,,,"Includes the completion of the combined emergency spillway and connecting canal, as well as the replacement of the irrigation outlet."
2241,Taylor Coulee Emergency Spillway Replacement,Infrastructure,Cardston County No. 6,,"(49.2008018493652, -113.305999755859)",,$15000000.00,Announced,2016 - 2017,,"[{""url"":""http://globalnews.ca/news/1344918/province-announces-dams-and-reservoir-upgrades-to-protect-against-flooding/"",""text"":""May 21, 2014 - Global News""}]",Alberta Environment and Sustainable Resource Development,false,,,,Includes the replacement of the existing wooden emergency spillways with concrete ones. Pending funding.
2242,Bullhorn Emergency Spillway Replacement,Infrastructure,Cardston County No. 6,,"(49.2008018493652, -113.305999755859)",,$11000000.00,Announced,2015 - 2016,,"[{""url"":""http://globalnews.ca/news/1344918/province-announces-dams-and-reservoir-upgrades-to-protect-against-flooding/"",""text"":""May 21, 2014 - Global News""}]",Alberta Environment and Sustainable Resource Development,false,,,,Includes the replacement of the existing wooden emergency spillways with concrete ones.
2243,Lacombe Sport and Leisure Complex Renovations,Tourism / Recreation,Lacombe,,"(52.4695014953613, -113.73046875)",,$10800000.00,Announced,2015 - 2017,,"[{""url"":""http://www.lacombeglobe.com/2014/05/13/lacombe-city-council-approves-in-principle-plan-for-142-million-arena-upgrades"",""text"":""May 14, 2014 - Lacombe Globe""}]",Town of Lacombe,false,Scott Builders Inc.,,,"Includes installing sprinklers and removing the second floor egress, as well as expansion and improvements to the changing and storage rooms and changes to the front lobby."
2246,Marigold Library System Administration Building,Institutional,Strathmore,,"(51.0390014648438, -113.391998291016)",,$5000000.00,Announced,,,"[{""url"":""http://www.strathmorestandard.com/2014/05/21/new-building-needed-for-marigold-library-system"",""text"":""May 21, 2014 - Strathmore Standard""}]",Marigold Library System,false,,,,"Proposed, as the current building is in need of upgrades."
2249,Highway 40 Bridge Culvert Replacement,Infrastructure,Grande Cache,,"(53.8899993896484, -119.129997253418)",,$6000000.00,Announced,,,,Alberta Transportation,false,,,,Over Mason Creek and Findley Creek.
2251,Dunkirk Project,Oil Sands,M.D. of Opportunity No. 17,,"(56.9000015258789, -112.900001525879)",,$123000000.00,Announced,2015 - 2016,,"[{""url"":""http://www.theglobeandmail.com/report-on-business/industry-news/energy-and-resources/koch-brothers-company-files-to-develop-oil-sands-project/article18833873/"",""text"":""May 23, 2014 - The Globe and Mail""}]",Koch Oil Sands Operating ULC,false,,,,"A SAGD project, with two 30,000 barrel a day phases. Application was filed January 2015 and is pending approval."
2252,Storm Sewer Lines,Infrastructure,Edmonton,Edmonton,,"{""type"":""LineString"",""coordinates"":[[-113.500999450684,53.5390014648438,0.0],[-113.501998901367,53.5589981079102,0.0]]}",$46000000.00,Announced,,,,City of Edmonton,false,,,,
2255,High River Community Resource Centre,Institutional,High River,,"(50.5797462463379, -113.867767333984)",,$20000000.00,Announced,2015 - 2016,,,Alberta Infrastructure,false,,,,The Centre will replace the Provincial Building and the Foothills School Division office building.
